track_name,artist,album
My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We
4 Your Eyez Only,J. Cole,4 Your Eyez Only
She's Mine Pt. 2,J. Cole,4 Your Eyez Only
ball w/o you,21 Savage,i am > i was
Open Arms (feat. Travis Scott),SZA,SOS
Impossible,Travis Scott,Rodeo
Ugotme,Omar Apollo,Stereo
Change Me,Justin Bieber,Journals
Like You Do,Joji,Nectar
SWM,RealestK,SWM
Love Me,RealestK,Love Me
I Know You,Faye Webster,Faye Webster
Keep The Family Close,Drake,Views
Young,Vacations,Vibes
Promise,Laufey,Bewitched
Hours In Silence,Drake,Her Loss
Don't Come Around Interlude!,Autumn!,Solitary 2
Chilly,NIKI,Chilly
Red Leather,Future,WE STILL DON'T TRUST YOU
Heart To Heart,Mac DeMarco,Here Comes The Cowboy
SLOW DANCING IN THE DARK,Joji,BALLADS 1
None Of Your Concern (feat. Big Sean),Jhené Aiko,Chilombo
The Birds Pt. 2,The Weeknd,Trilogy
Valerie,The Weeknd,Trilogy
Let Me Go,Daniel Caesar,NEVER ENOUGH
Reciprocate,Summer Walker,Still Over It
Hurt You,The Weeknd,"My Dear Melancholy,"
Come and See Me (feat. Drake),PARTYNEXTDOOR,PARTYNEXTDOOR 3 (P3)
Hereditary,JID,The Never Story
Could've Been (feat. Bryson Tiller),H.E.R.,I Used To Know Her
Not You Too (feat. Chris Brown),Drake,Dark Lane Demo Tapes
Losses,Drake,Dark Lane Demo Tapes
Deeper - Bonus,KYLE,Beautiful Loser
Here Comes a Thought (feat. Estelle & AJ Michalka),Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)"
For Whom The Bell Tolls,J. Cole,4 Your Eyez Only
She's Mine Pt. 1,J. Cole,4 Your Eyez Only
Wednesday Night Interlude,Drake,If You're Reading This It's Too Late
BUSY/SIRENS,Saba,CARE FOR ME
WAIT FOR U (feat. Drake & Tems),Future,I NEVER LIKED YOU
Pink Matter,Frank Ocean,channel ORANGE
Nothings Into Somethings,Drake,More Life
In The Bible (with Lil Durk & Giveon),Drake,Certified Lover Boy
Change,J. Cole,4 Your Eyez Only
Throw Away,Future,Monster
Love Yourz,J. Cole,2014 Forest Hills Drive
Shot For Me,Drake,Take Care (Deluxe)
Furthest Thing,Drake,Nothing Was The Same
I. Flight of the Navigator,Childish Gambino,Because the Internet
Priorities,Sy Ari Da Kid,B4 the Heartbreak
Crack Rock,Frank Ocean,channel ORANGE
Runaway,Kanye West,My Beautiful Dark Twisted Fantasy
One More Love Song,Mac DeMarco,This Old Dog
Redemption,Drake,Views
You Don’t Know Me,Summer Walker,Still Over It
Broken Promises,Summer Walker,Still Over It
Switch A Nigga Out,Summer Walker,Still Over It
Y.D.L.R.,Tory Lanez,PLAYBOY
Don’t Walk Away...Just Trust Me,Tory Lanez,PLAYBOY
The Remorse,Drake,Certified Lover Boy
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT
Hey Jane,"Tyler, The Creator",CHROMAKOPIA
Like Him (feat. Lola Young),"Tyler, The Creator",CHROMAKOPIA
Shouldn't Be,Luke Chiang,Shouldn't Be
Silkk da Shocka (feat. Syd),Isaiah Rashad,The Sun's Tirade
Chateau (Feel Alright),Djo,Twenty Twenty
Blue Hair,TV Girl,Death of a Party Girl
Washing Machine Heart,Mitski,Be the Cowboy
Me and My Husband,Mitski,Be the Cowboy
Port Antonio,J. Cole,Port Antonio
Crack Baby,Mitski,Puberty 2
Sonder Son (Interlude),Brent Faiyaz,Sonder Son
Little Bit (feat. Lykke Li),Drake,So Far Gone
Work,Charlotte Day Wilson,CDW
CN TOWER,PARTYNEXTDOOR,$ome $exy $ongs 4 U
CELIBACY,PARTYNEXTDOOR,$ome $exy $ongs 4 U
Violent Crimes,Kanye West,ye
Wires in the Way,SiR,Chasing Summer
Jungle,Drake,If You're Reading This It's Too Late
FEAR.,Kendrick Lamar,DAMN.
Still Beating,Mac DeMarco,This Old Dog
Dreams from Yesterday,Mac DeMarco,This Old Dog
I Gotta Find Peace of Mind - Live,Ms. Lauryn Hill,MTV Unplugged No. 2.0
The Other Woman,Lana Del Rey,Ultraviolence (Deluxe)
III. Urn,Childish Gambino,Because the Internet
No Other Heart,Mac DeMarco,Another One
Love Like You (feat. Rebecca Sugar) - End Credits,Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)"
Bad Religion,Frank Ocean,channel ORANGE
Juke Jam (feat. Justin Bieber & Towkio),Chance the Rapper,Coloring Book
